"","type","ifp_id","fcast.date","dist","par.1","par.2","q_05","q_25","q_50","q_75","q_95","method"
"52","user","1436-6",2014-10-24,"normal",12.0964866522442,6.92291239065793,0.709309097403164,7.42705320323993,12.0964866522442,16.7659201012484,23.4836642070851,"CM1: Median Theta"
"53","fixed","1436-6",2014-10-24,"normal",18.2418168537337,3.08390301331396,13.1692477971176,16.1617558806546,18.2418168537337,20.3218778268127,23.3143859103497,"CM1: Median Theta"
"54","random","1436-6",2014-10-24,"normal",16.8601496697594,4.56581120631982,9.35005854706861,13.7805568097663,16.8601496697594,19.9397425297526,24.3702407924503,"CM1: Median Theta"
"55","user","1442-0",2014-10-05,"gamma",2.36385211919299,0.0690956774694826,7.3878354329976,17.8493324358781,29.5267871926737,45.5222614675009,77.0418659111376,"CM1: Median Theta"
"56","fixed","1442-0",2014-10-05,"gamma",1.56924086618858,0.0642202010563082,3.08269214456366,10.1798969112265,19.4858479291045,33.3850742777068,62.7018938581837,"CM1: Median Theta"
"57","random","1442-0",2014-10-05,"gamma",3.23439631460007,0.091551874620786,10.2681524322042,20.9038069897415,31.7619585471723,45.8957692886737,72.5723409653348,"CM1: Median Theta"
"58","fixed","1443-0",2014-11-02,"gamma",1.81413026123607,0.00917276896923862,30.9066597566118,90.0824894526647,162.858973754462,267.950242534608,483.960990349466,"CM1: Median Theta"
"59","user","1443-0",2014-11-02,"gamma",1.9527328156116,0.0250678920564575,13.4263155575325,36.9662894203157,65.0794783974376,105.041806131053,186.175221465766,"CM1: Median Theta"
"60","random","1443-0",2014-11-02,"gamma",4.66609255701103,0.0347187146096063,50.7958721223653,88.9474311013109,124.927650516767,169.578934795044,250.333119379811,"CM1: Median Theta"
"61","fixed","1445-6",2015-01-24,"normal",6.23457830225404,0.0167185785698019,6.20707868765603,6.22330179237086,6.23457830225404,6.24585481213722,6.26207791685205,"CM1: Median Theta"
"62","user","1445-6",2015-01-24,"normal",6.24270216209079,0.0711721262491404,6.12563443209204,6.19469729243608,6.24270216209079,6.2907070317455,6.35976989208954,"CM1: Median Theta"
"63","random","1445-6",2015-01-24,"normal",6.2302936998155,0.0145088702846007,6.20642873190491,6.22050761552162,6.2302936998155,6.24007978410939,6.2541586677261,"CM1: Median Theta"
"64","fixed","1448-1",2015-01-30,"gamma",2.66115023343293,0.0068356738460944,94.9500307290524,213.833860950584,341.775603221744,513.460618060043,846.042321743508,"CM1: Median Theta"
"65","user","1448-1",2015-01-30,"gamma",3.12315406972961,0.0241217595473193,36.5417010807109,75.6587718495999,115.948939996694,168.665708711437,268.612031069011,"CM1: Median Theta"
"66","random","1448-1",2015-01-30,"gamma",7.89061529307492,0.06340990505713,61.5638648415493,92.416866014088,119.22273245916,150.791618770667,205.114488424049,"CM1: Median Theta"
"67","fixed","1449-0",2014-11-29,"gamma",2.82526171922625,0.0313021423873468,23.3025097831852,50.7855900753046,79.8613657149793,118.499068104183,192.731825232552,"CM1: Median Theta"
"68","user","1449-0",2014-11-29,"gamma",5.49813054514251,0.112989824174815,20.2337164806754,33.5470997893018,45.7442163969223,60.6089979747041,87.0434838709795,"CM1: Median Theta"
"69","random","1449-0",2014-11-29,"gamma",4.06512787800202,0.0186810502546375,75.1665233289381,138.586121971735,200.047372672856,277.603773630497,420.016130108319,"CM1: Median Theta"
"70","fixed","1450-0",2014-11-26,"gamma",5.12781123809733,0.0581105642264103,35.2842210957722,59.8250759661126,82.5771928892926,110.513741884507,160.543360535336,"CM1: Median Theta"
"71","user","1450-0",2014-11-26,"gamma",9.13303510449688,0.106155584683627,45.1367207897107,65.5212916703959,82.9155785149088,103.156674229709,137.576760036362,"CM1: Median Theta"
"72","random","1450-0",2014-11-26,"gamma",6.04745553461747,0.072592748009565,36.4266809605566,58.6824688976829,78.7625193259877,102.997300511049,145.699677400426,"CM1: Median Theta"
"73","rolling","1450-0",2014-11-26,"gamma",2.39178517400044,0.21739702664894,2.40606029791832,5.77081906758576,9.51245321869411,14.6268140552046,24.6873066489284,"CM1: Median Theta"
"74","rollingCtl","1450-0",2014-11-26,"gamma",2.43756591835467,0.24405990056857,2.22863852300979,5.28346393608995,8.65999705299389,13.2597447168346,22.2827601904852,"CM1: Median Theta"
"75","fixed","1451-6",2015-01-30,"gamma",2.64909602649308,0.0270355771373655,23.7926112539115,53.7198619126315,85.9702531033495,129.279829187219,213.230859655192,"CM1: Median Theta"
"76","user","1451-6",2015-01-30,"gamma",3.37370712711013,0.0213197308990615,47.5978747234983,95.0082688760669,142.913121178405,204.892007299381,321.254197949046,"CM1: Median Theta"
"77","random","1451-6",2015-01-30,"gamma",21.11704991984,0.387720362087202,36.541769188984,46.0727002791224,53.6073682554875,61.9231030090757,75.3124549895684,"CM1: Median Theta"
"78","rollingCtl","1451-6",2015-01-30,"gamma",3.62248896083735,0.0273052089052671,42.1718312817101,81.5486564263459,120.67896013051,170.807478592821,264.105595170098,"CM1: Median Theta"
"79","rolling","1451-6",2015-01-30,"gamma",5.02083724006045,0.0791389426513424,25.0595756008675,42.7876277117356,59.2846852696886,79.5879956212933,116.02650382634,"CM1: Median Theta"
"80","fixed","1454-0",2014-11-12,"normal",-2.03919618125244e-05,0.235574518097175,-0.387505992471296,-0.158912989825738,-2.03919618125244e-05,0.158872205902113,0.387465208547671,"CM1: Median Theta"
"81","user","1454-0",2014-11-12,"normal",0.786756810726017,0.443530073115817,0.0572147612994134,0.48760032250568,0.786756810726017,1.08591329894635,1.51629886015262,"CM1: Median Theta"
"82","random","1454-0",2014-11-12,"normal",-0.0690219283514439,0.107752472640607,-0.246258973787335,-0.141699866705817,-0.0690219283514439,0.00365601000292905,0.108215117084447,"CM1: Median Theta"
"83","fixed","1456-6",2015-01-14,"beta",101.339910471446,2265.51046232555,0.0361996569429334,0.0399437873992545,0.0426876271670367,0.0455486611348087,0.0498722111499779,"CM1: Median Theta"
"84","user","1456-6",2015-01-14,"beta",54.92406206012,1260.96181437421,0.0330867627179536,0.0379046881169616,0.0415072115519209,0.0453210598851943,0.0511832769006539,"CM1: Median Theta"
"85","random","1456-6",2015-01-14,"beta",65.8298454808833,1450.56770606311,0.0351625113878838,0.0397812268164343,0.0432113687588417,0.0468242172798351,0.052345951290559,"CM1: Median Theta"
"86","random","1457-0",2015-02-27,"gamma",4.5313207029618,0.174429462566145,9.64006313303693,17.0586520566566,24.0939900875413,32.8548046315274,48.7491540529709,"CM1: Median Theta"
"87","fixed","1457-0",2015-02-27,"gamma",2.4363547130607,0.0159834372982373,33.9956016341102,80.6182143853148,132.158809459338,202.37716105925,340.12979084637,"CM1: Median Theta"
"88","user","1457-0",2015-02-27,"gamma",3.99576443540119,0.0155567770805689,87.6700450144967,162.748171958049,235.770646235436,328.117367932794,498.02220832533,"CM1: Median Theta"
"89","rollingCtl","1457-0",2015-02-27,"gamma",4.17099078767307,0.158094400219001,9.27435353699966,16.9284806607128,24.3070752349817,33.5880074518635,50.5805539511958,"CM1: Median Theta"
"90","rolling","1457-0",2015-02-27,"gamma",4.92679297766672,0.0660598446479822,29.1322842269605,50.0597744362312,69.6000623691882,93.6995380069221,137.03581975951,"CM1: Median Theta"
"91","fixed","1460-0",2015-01-14,"normal",14.6871035690169,0.0495084033647433,14.6056694921778,14.6537106583988,14.6871035690169,14.7204964796349,14.7685376458559,"CM1: Median Theta"
"92","user","1460-0",2015-01-14,"normal",14.6484372496127,0.129191319644152,14.4359364389254,14.5612990286984,14.6484372496127,14.735575470527,14.8609380603,"CM1: Median Theta"
"93","random","1460-0",2015-01-14,"normal",14.6457256355353,0.0660063967510509,14.5371547744373,14.6012049974793,14.6457256355353,14.6902462735912,14.7542964966332,"CM1: Median Theta"
"94","random","1461-0",2014-12-13,"gamma",3.65974633511073,0.00957103257113623,122.487679191592,235.814456104599,348.170880435487,491.907744438914,759.099521220732,"CM1: Median Theta"
"95","fixed","1461-0",2014-12-13,"gamma",3.24568751686165,0.00637007271175274,148.518058603525,301.851618088889,458.257246385666,661.743413386156,1045.63938416145,"CM1: Median Theta"
"96","user","1461-0",2014-12-13,"gamma",1.65050087327869,0.00385717466747452,58.3577751314626,184.140466060817,345.267526726051,583.009507508607,1079.85633733094,"CM1: Median Theta"
"97","rollingCtl","1461-0",2014-12-13,"gamma",2.45826566640767,8.22252575545105e-06,67306.2405850855,158748.274477888,259551.545477338,396668.008191008,665308.411646502,"CM1: Median Theta"
"98","rolling","1461-0",2014-12-13,"gamma",4.2367052591225,0.0226047049509597,66.5798812705975,120.800488236871,172.903853218119,238.313879518494,357.86415431237,"CM1: Median Theta"
"99","random","1463-6",2015-02-27,"gamma",5.38064450024461,0.0958084369450925,23.0759516169841,38.5209337727119,52.7222256775457,70.0691093907578,100.983854585083,"CM1: Median Theta"
"100","fixed","1463-6",2015-02-27,"gamma",2.50769266826025,0.0256886674726753,22.4347351668038,52.2879754708687,84.9943455321415,129.328340308542,215.937923797012,"CM1: Median Theta"
"101","user","1463-6",2015-02-27,"gamma",2.64357323392189,0.0121935973753601,52.5352985407826,118.756222834498,190.16147740577,286.08621370474,472.080609716892,"CM1: Median Theta"
"102","rollingCtl","1463-6",2015-02-27,"gamma",42,42,0.760431683845645,0.892057663531109,0.992074787494664,1.09930773527496,1.26660524098479,"CM1: Median Theta"
"103","rolling","1463-6",2015-02-27,"gamma",1.75635624860249,0.179835290714377,1.45871173596038,4.36516822842466,7.98838576625304,13.2582358924384,24.1508556628439,"CM1: Median Theta"
"104","fixed","1464-0",2014-11-18,"normal",52.3139341387803,49.2749339821839,-28.7361197396093,19.0784962262086,52.3139341387803,85.5493720513519,133.36398801717,"CM1: Median Theta"
"105","user","1464-0",2014-11-18,"normal",86.1891320792392,77.8487102066248,-41.8606012576218,33.6809749788857,86.1891320792392,138.697289179593,214.2388654161,"CM1: Median Theta"
"106","random","1464-0",2014-11-18,"normal",85.9929918634918,42.2922821095855,16.4283782434852,57.4672810681752,85.9929918634918,114.518702658808,155.557605483498,"CM1: Median Theta"
"107","user","1471-6",2014-11-27,"gamma",4.2202736999984,0.0710470092375732,21.0465967707118,38.2430938539337,54.7810582575192,75.5525891749772,113.533319597035,"CM1: Median Theta"
"108","fixed","1471-6",2014-11-27,"gamma",1.65970663694878,0.0267966999130612,8.51786808642389,26.7463192608235,50.0385681262565,84.3610438224521,156.018354148908,"CM1: Median Theta"
"109","random","1471-6",2014-11-27,"gamma",4.34207232575596,0.101347268716045,15.4682805944076,27.8056214651119,39.6031888558773,54.3693705413111,81.2841265729205,"CM1: Median Theta"
"110","fixed","1476-0",2015-01-25,"gamma",1.41751861651294,0.0132255254757904,11.418645903361,41.6291946772005,83.2958660849846,147.174468610958,284.553435585878,"CM1: Median Theta"
"111","user","1476-0",2015-01-25,"gamma",2.64292064174072,0.0275928931269535,23.2045630710502,52.46132387329,84.0108445135369,126.395742652032,208.581287652716,"CM1: Median Theta"
"112","random","1476-0",2015-01-25,"gamma",5.11201928949321,0.294134912933073,6.93708526555932,11.7739382850149,16.2606638338564,21.7716248330773,31.6439311726482,"CM1: Median Theta"
"113","rollingCtl","1476-0",2015-01-25,"gamma",2.20676817542995,0.0224795523800604,19.633828293646,49.5889492124066,83.8038395801758,131.27172137174,225.786686390385,"CM1: Median Theta"
"114","rolling","1476-0",2015-01-25,"gamma",3.38767258862649,0.137836737954461,7.41702972142315,14.7768366864813,22.2060199544231,31.8121990299561,49.8380492468918,"CM1: Median Theta"
"115","user","1478-0",2015-02-27,"gamma",4.45931246409655,0.0113077485910576,144.856382515671,257.833204061965,365.304855875439,499.389427327693,743.076392391431,"CM1: Median Theta"
"116","random","1478-0",2015-02-27,"gamma",4.04005647586337,0.0522067571447996,26.6169380043765,49.1944559487612,71.1030424459167,98.7705768751667,149.610718880869,"CM1: Median Theta"
"117","fixed","1478-0",2015-02-27,"gamma",3.102716336614,0.0263027471009418,33.1062303866275,68.76715051836,105.55955239311,153.747122984018,245.184147781731,"CM1: Median Theta"
"118","rollingCtl","1478-0",2015-02-27,"gamma",3.83866369912608,2.94660108130716e-05,43219.4205431284,81550.318823091,119153.255195184,166954.35096407,255311.223778643,"CM1: Median Theta"
"119","rolling","1478-0",2015-02-27,"gamma",1.64712806626092,0.171653846693664,1.30462803526973,4.12400209076952,7.73894247125966,13.0753485547922,24.2317915646528,"CM1: Median Theta"
"120","fixed","1481-6",2014-12-13,"normal",4.18109101396607,0.773989797369874,2.90799108853879,3.65904282888374,4.18109101396607,4.70313919904839,5.45419093939334,"CM1: Median Theta"
"121","user","1481-6",2014-12-13,"normal",6.83901855180822,2.74383693708842,2.32580841407491,4.98832866153267,6.83901855180822,8.68970844208377,11.3522286895415,"CM1: Median Theta"
"122","random","1481-6",2014-12-13,"normal",5.37451978829175,1.08274429875281,3.59356390142716,4.64421985669973,5.37451978829175,6.10481971988376,7.15547567515634,"CM1: Median Theta"
